-----------560-----------
4813,bag,39,r a g b a g,7 18 21 28 29 30,-,r a g b a g,"Simple edit score, Progressive alignment"
4813,bag,39,r a g b a g,8 14 27 29 30 32,-,r a g b a g,"Simple edit score, Progressive alignment with LCS"
-----------4815-----------
4814,bag,40,r a g b a g s,7 18 21 28 29 30 36,-,r a g b a g s,"Simple edit score, Progressive alignment"
4814,bag,40,r a g b a g s,8 14 27 29 30 32 36,-,r a g b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4816-----------
4815,bag,41,s a d d l e b a g,9 18 20 22 23 25 28 29 30,-,s a d d l e b a g,"Simple edit score, Progressive alignment"
4815,bag,41,s a d d l e b a g,13 14 18 22 24 25 29 30 32,-,s a d d l e b a g,"Simple edit score, Progressive alignment with LCS"
-----------4817-----------
4816,bag,42,s a d d l e b a g s,9 18 20 22 23 25 28 29 30 36,-,s a d d l e b a g s,"Simple edit score, Progressive alignment"
4816,bag,42,s a d d l e b a g s,13 14 18 22 24 25 29 30 32 36,-,s a d d l e b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4818-----------
4817,bag,43,s a n d b a g,9 18 19 20 28 29 30,-,s a n d b a g,"Simple edit score, Progressive alignment"
4817,bag,43,s a n d b a g,13 14 20 22 29 30 32,-,s a n d b a g,"Simple edit score, Progressive alignment with LCS"
-----------4819-----------
4818,bag,44,s a n d b a g g e d,9 18 19 20 28 29 30 31 33 34,-,s a n d b a g g e d,"Simple edit score, Progressive alignment"
4818,bag,44,s a n d b a g g e d,13 14 20 22 29 30 31 32 33 35,-,s a n d b a g g e d,"Simple edit score, Progressive alignment with LCS"
-----------4820-----------
4819,bag,45,s a n d b a g g i n g,9 18 19 20 28 29 30 31 32 34 35,-,s a n d b a g g i n g,"Simple edit score, Progressive alignment"
4819,bag,45,s a n d b a g g i n g,13 14 20 22 29 30 31 32 33 34 35,-,s a n d b a g g i n g,"Simple edit score, Progressive alignment with LCS"
-----------4821-----------
4820,bag,46,s a n d b a g s,9 18 19 20 28 29 30 36,-,s a n d b a g s,"Simple edit score, Progressive alignment"
4820,bag,46,s a n d b a g s,13 14 20 22 29 30 32 36,-,s a n d b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4822-----------
4821,bag,47,s l e e p i n g - b a g,9 13 14 15 16 17 19 21 28 29 30,-,s l e e p i n g b a g,"Simple edit score, Progressive alignment"
4821,bag,47,s l e e p i n g - b a g,13 17 19 21 23 24 25 27 29 30 32,-,s l e e p i n g b a g,"Simple edit score, Progressive alignment with LCS"
-----------4823-----------
4822,bag,48,s l e e p i n g - b a g s,9 13 14 15 16 17 19 21 28 29 30 36,-,s l e e p i n g b a g s,"Simple edit score, Progressive alignment"
4822,bag,48,s l e e p i n g - b a g s,13 17 19 21 23 24 25 27 29 30 32 36,-,s l e e p i n g b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4824-----------
4823,bag,49,t e a b a g,10 15 18 28 29 30,-,t e a b a g,"Simple edit score, Progressive alignment"
4823,bag,49,t e a b a g,12 21 23 29 30 32,-,t e a b a g,"Simple edit score, Progressive alignment with LCS"
-----------4825-----------
4824,bag,50,t e a b a g s,10 15 18 28 29 30 36,-,t e a b a g s,"Simple edit score, Progressive alignment"
4824,bag,50,t e a b a g s,12 21 23 29 30 32 36,-,t e a b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4826-----------
4825,bag,51,t u c k e r b a g,10 12 14 22 25 26 28 29 30,-,t u c k e r b a g,"Simple edit score, Progressive alignment"
4825,bag,51,t u c k e r b a g,12 16 18 19 21 26 29 30 32,-,t u c k e r b a g,"Simple edit score, Progressive alignment with LCS"
-----------4827-----------
4826,bag,52,t u c k e r b a g s,10 12 14 22 25 26 28 29 30 36,-,t u c k e r b a g s,"Simple edit score, Progressive alignment"
4826,bag,52,t u c k e r b a g s,12 16 18 19 21 26 29 30 32 36,-,t u c k e r b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4828-----------
4827,bag,53,w i n d b a g,5 6 19 20 28 29 30,-,w i n d b a g,"Simple edit score, Progressive alignment"
4827,bag,53,w i n d b a g,0 10 20 22 29 30 32,-,w i n d b a g,"Simple edit score, Progressive alignment with LCS"
-----------4829-----------
4828,bag,54,w i n d b a g s,5 6 19 20 28 29 30 36,-,w i n d b a g s,"Simple edit score, Progressive alignment"
4828,bag,54,w i n d b a g s,0 10 20 22 29 30 32 36,-,w i n d b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4830-----------
4829,bag,55,w o r k b a g,1 17 21 22 28 29 30,-,w o r k b a g,"Simple edit score, Progressive alignment"
4829,bag,55,w o r k b a g,0 6 8 25 29 30 32,-,w o r k b a g,"Simple edit score, Progressive alignment with LCS"
-----------4831-----------
4830,bag,56,w o r k b a g s,1 17 21 22 28 29 30 32,-,w o r k b a g s,"Simple edit score, Progressive alignment"
4830,bag,56,w o r k b a g s,0 6 8 25 29 30 32 36,-,w o r k b a g s,"Simple edit score, Progressive alignment with LCS"
-----------5634-----------
5633,bass,0,b a s s,11 12 13 14,- b a s s -,-,"Simple edit score, Progressive alignment"
5633,bass,0,b a s s,11 12 13 16,- b a s - s,-,"Simple edit score, Progressive alignment with LCS"
-----------5635-----------
5634,bass,1,b a s s e s,11 12 13 14 15 16,- b a s s -,- e s,"Simple edit score, Progressive alignment"
5634,bass,1,b a s s e s,11 12 13 14 15 16,- b a s - s,- s e -,"Simple edit score, Progressive alignment with LCS"
-----------5636-----------
5635,bass,2,c o n t r a b a s s,1 2 7 8 9 10 11 12 13 14,- b a s s -,c o n t r a -,"Simple edit score, Progressive alignment"
5635,bass,2,c o n t r a b a s s,1 2 7 8 9 10 11 12 13 16,- b a s - s,c o n t r a -,"Simple edit score, Progressive alignment with LCS"
-----------5637-----------
5636,bass,3,c o n t r a b a s s e s,1 2 7 8 9 10 11 12 13 14 15 16,- b a s s -,c o n t r a - e s,"Simple edit score, Progressive alignment"
5636,bass,3,c o n t r a b a s s e s,1 2 7 8 9 10 11 12 13 14 15 16,- b a s - s,c o n t r a - s e -,"Simple edit score, Progressive alignment with LCS"
-----------5638-----------
5637,bass,4,d o u b l e - b a s s,0 2 3 4 5 6 11 12 13 14,- b a s s -,d o u b l e -,"Simple edit score, Progressive alignment"
5637,bass,4,d o u b l e - b a s s,0 2 3 4 5 6 11 12 13 16,- b a s - s,d o u b l e -,"Simple edit score, Progressive alignment with LCS"
-----------5639-----------
5638,bass,5,d o u b l e - b a s s e s,0 2 3 4 5 6 11 12 13 14 15 16,- b a s s -,d o u b l e - e s,"Simple edit score, Progressive alignment"
5638,bass,5,d o u b l e - b a s s e s,0 2 3 4 5 6 11 12 13 14 15 16,- b a s - s,d o u b l e - s e -,"Simple edit score, Progressive alignment with LCS"
-----------6232-----------
6231,bee,0,b e e,6 8 11,- e - e -,b -,"Simple edit score, Progressive alignment"
6231,bee,0,b e e,3 8 17,- e - e -,b -,"Simple edit score, Progressive alignment with LCS"
-----------6233-----------
6232,bee,1,b e e h i v e,6 8 11 13 14 16 17,- e - e -,b - h i v e,"Simple edit score, Progressive alignment"
